col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
6 Conyers St #3346,01292-196869,Audrey M Borland Studios,,Carris,Gail,,Hamilton South Ward,South Lanarkshire,ML3 7TE,01547-190531,gcarris@hotmail.com,http://www.audreymborlandstudios.co.uk
8657 Cedar St #2,01573-788734,"Mayo, Timothy L Esq",,Oropeza,Dong,,Kinross-shire Ward,Perth and Kinross,KY13 8EQ,01955-221720,doropeza@hotmail.com,http://www.mayotimothylesq.co.uk
8 Jacob St,01577-443040,"Hollett, Byron P Esq",,Ocacio,Larue,,Daybrook Ward,Nottinghamshire,NG5 6JB,01654-933782,larue@yahoo.com,http://www.hollettbyronpesq.co.uk
6174 Botanic Pl,01867-720033,Veri Nu Products Corp,,Sonkens,Goldie,,Ravensthorpe Ward,Cambridgeshire,PE3 7BJ,01523-949034,gsonkens@sonkens.co.uk,http://www.verinuproductscorp.co.uk
9730 Dunnet St,01818-260618,"Schen, Sanford E Md",,Plues,Shelia,,Silloth-on-Solway,Cumbria,CA7 4RB,01574-927461,shelia@gmail.com,http://www.schensanfordemd.co.uk
8783 High St,01724-644767,Danka Business Systems,,Araiza,Narcisa,,Milton,Cambridgeshire,CB24 6ZR,01689-339758,naraiza@hotmail.com,http://www.dankabusinesssystems.co.uk
8 Breckfield Road North,01289-621482,"Hasselberg, Michael R Esq",,Frede,Evelynn,,Seaham,County Durham,SR7 0AZ,01571-460710,evelynn.frede@gmail.com,http://www.hasselbergmichaelresq.co.uk
82 Waterhouse Lane,01448-395723,Ed Miniat Inc,,Calaf,Arlean,,Llantrisant Community,Rhondda Cynon Taff,CF72 8LB,01407-700390,acalaf@yahoo.com,http://www.edminiatinc.co.uk
2 Park Rd Walton #4338,01891-816938,Davis Commercial Contracting,,Yu,Tamra,,Lansdown Ward,Gloucestershire,GL50 2LF,01635-523740,tamra.yu@hotmail.com,http://www.daviscommercialcontracting.co.uk
59 Charles St,01642-202972,"Garton, Jeffrey P Esq",,Maricle,Dusti,,Victoria Ward,Kent,TN23 4GF,01806-219415,dusti@gmail.com,http://www.gartonjeffreypesq.co.uk
593 Kinglake St,01924-111018,Sm Toth Baldridge & Van Belkum,,Donham,Aracelis,,Fowlmere,Cambridgeshire,SG8 7TP,01420-311467,aracelis.donham@hotmail.com,http://www.smtothbaldridgevanbelkum.co.uk
404 Aigburth St #4246,01559-323337,Westoaks Glass,,Fredrikson,Filiberto,,Audley Ward,Lancashire,BB1 2AA,01727-322116,filiberto_fredrikson@gmail.com,http://www.westoaksglass.co.uk
690 Copenhagen Rd,01248-325090,Direct Tools & Fasteners,,Stackpole,Leana,,Warham,Norfolk,NR23 1NJ,01386-257445,lstackpole@yahoo.com,http://www.directtoolsfasteners.co.uk
7 Canton St,01590-219449,Applied Robotic Tech Inc,,Homer,Man,,Mildmay Ward,Greater London,N1 4RF,01855-550515,man.homer@gmail.com,http://www.appliedrobotictechinc.co.uk
79 Pine St,01585-487560,Air Tech Streamlining,,Asley,Lennie,,Radcliffe West Ward,Greater Manchester,M26 1GH,01802-349902,lennie_asley@gmail.com,http://www.airtechstreamlining.co.uk
9 Lodwick St,01255-805722,E Zaks & Co,,Naomi,Arletta,,City and Hunslet Ward,West Yorkshire,LS1 8HZ,01518-773815,arletta_naomi@naomi.co.uk,http://www.ezaksco.co.uk
9 Ogwen St,01477-796750,Olden Camera & Lens Co Inc,,Perera,Chana,,Murdostoun Ward,North Lanarkshire,ML2 8LW,01858-335054,chana.perera@hotmail.com,http://www.oldencameralenscoinc.co.uk
1730 Seymour St,01308-582144,"Madaus, Gerald F Jr",,Pao,Nell,,Eastbrook Ward,Brighton and Hove,BN41 1QH,01773-576318,npao@gmail.com,http://www.madausgeraldfjr.co.uk
35 Elton St #3,01324-171614,Radisson Suite Hotel,,Heilig,Antonio,,Ipplepen,Devon,TQ12 5LL,01442-946357,antonio.heilig@gmail.com,http://www.radissonsuitehotel.co.uk
8 Hinton St #8241,01504-620944,Digital Solutions Inc,,Kernagis,Gerald,,Stowting,Kent,TN25 6BQ,01685-678054,gerald_kernagis@kernagis.co.uk,http://www.digitalsolutionsinc.co.uk
751 Stamford St,01886-226100,El Hispanic News,,Mandril,Sueann,,Werrington,Staffordshire,ST9 0AH,01717-449960,smandril@hotmail.com,http://www.elhispanicnews.co.uk
70 Royal St,01964-720542,South Bldg Code Congres,,Hoyal,Alayna,,Banchory and Mid Deeside Ward,Aberdeenshire,AB31 4AH,01983-132813,alayna_hoyal@hotmail.com,http://www.southbldgcodecongres.co.uk
5 Minerva St,01711-170147,Kenney Mfg Co,,Marthe,Talia,,Westbury,Wiltshire,BA13 3QR,01607-480159,talia.marthe@gmail.com,http://www.kenneymfgco.co.uk
1 Northampton St,01674-842315,Oncor Inc,,Kopan,Pansy,,Madeley,Shropshire,TF7 4GA,01627-571972,pansy@kopan.co.uk,http://www.oncorinc.co.uk
2 Maple Grove,01972-770618,Best Western Caprock Inn,,Saik,Royce,,Kincorth,Aberdeenshire,AB12 5EJ,01431-812225,royce@hotmail.com,http://www.bestwesterncaprockinn.co.uk
794 Hook St,01753-327307,"Wiltgen, Nancy A Esq",,Sorrel,Cherelle,,Benwell and Scotswood Ward,Tyne and Wear,NE15 7JA,01212-458253,cherelle_sorrel@gmail.com,http://www.wiltgennancyaesq.co.uk
91 Ludlow St,01997-409950,"Mcknight, H Vincent Jr",,Dibartolo,Dudley,,Woodhouse Ward,Greater London,N12 0EF,01722-935404,dudley_dibartolo@yahoo.com,http://www.mcknighthvincentjr.co.uk
51 Freehold St #224,01388-974910,Miller Searl & Fitch,,Aldaco,Nettie,,Wheatley Ward,"Yorkshire, South",DN2 4PP,01681-983353,nettie.aldaco@yahoo.com,http://www.millersearlfitch.co.uk
7 Hey Green Rd #4,01885-707109,"Brenner, Steven G Esq",,Bulcao,Carline,,Rothwell Ward,West Yorkshire,LS26 8XE,01381-330004,carline@yahoo.com,http://www.brennerstevengesq.co.uk
2476 Marsh St,01329-303595,Western Packing Co,,Lunger,Shanda,,Markhouse Ward,Greater London,E17 8NP,01620-180931,slunger@gmail.com,http://www.westernpackingco.co.uk
597 Threlfall St #72,01523-697097,Ardent Studios Inc,,Withers,Emilio,,Stokenham,Devon,TQ7 2HS,01890-447894,emilio_withers@yahoo.com,http://www.ardentstudiosinc.co.uk
1 Jervis St,01593-438141,Borton Petrini & Conron,,Study,Lovetta,,High Barnet Ward,Greater London,EN5 4LH,01424-249976,lovetta@study.co.uk,http://www.bortonpetriniconron.co.uk
7602 Grantham St,01691-816025,A F Supl Co Div Automtc Firing,,Gone,Felice,,Hexham,Northumberland,NE46 1QQ,01888-857515,felice.gone@hotmail.com,http://www.afsuplcodivautomtcfiring.co.uk
10 Carisbrooke St,01706-546951,Murray Whisnant Architects,,Leadbeater,Stefania,,Shorne,Kent,DA12 3ED,01356-906646,stefania_leadbeater@hotmail.com,http://www.murraywhisnantarchitects.co.uk
78 Pine Grove,01215-422453,1893 Shops,,Orloski,Margarita,,Stannington Ward,South Yorkshire,S6 5HE,01958-497953,margarita_orloski@yahoo.com,http://www.shops.co.uk
7 Varthen St,01407-775572,"Dering, James E Esq",,Farrin,Paul,,Town Ward,Kent,DA1 2DL,01879-963638,paul.farrin@farrin.co.uk,http://www.deringjameseesq.co.uk
8 Thomaston St,01818-292728,Waltons Carson Gardens,,Tritten,Anglea,,Astley Bridge Ward,Greater Manchester,BL1 8RG,01436-350784,anglea_tritten@hotmail.com,http://www.waltonscarsongardens.co.uk
527 Harding St,01467-554624,Cohen And Fromm Pc,,Bowhall,Ona,,Market Rasen,Lincolnshire,LN8 3AD,01984-207421,ona@yahoo.com,http://www.cohenandfrommpc.co.uk
1616 Menzies St #453,01366-388506,Prg Company,,Hascall,Germaine,,Tadworth and Walton Ward,Surrey,KT20 7PA,01957-962781,ghascall@hotmail.com,http://www.prgcompany.co.uk
3922 Leda St,01625-805645,Medlab Environmental Test Inc,,Schellenberge,Vicky,,Moreton Morrell,Warwickshire,CV35 9BX,01602-772009,vschellenberge@hotmail.com,http://www.medlabenvironmentaltestinc.co.uk
6352 Grosvenor St,01470-609953,Leem Company Inc,,Gross,Carolann,,Wombourne,Staffordshire,WV5 0LP,01672-859754,carolann@gross.co.uk,http://www.leemcompanyinc.co.uk
4313 Princes Park Terrace,01467-172590,"Clarke, James H Esq",,Adelsperger,Rusty,,Launceston,Cornwall,PL15 9QN,01338-121225,rusty.adelsperger@yahoo.com,http://www.clarkejameshesq.co.uk
9 Sydney Place,01903-614855,Lykes Bros Inc,,Bludworth,Cassandra,,Henllan Community,Conwy,LL16 5AF,01583-648675,cbludworth@yahoo.com,http://www.lykesbrosinc.co.uk
2015 Suburban Rd,01914-501391,Mason Insurance Agency Inc,,Gesell,Teresita,,Springfield Ward,Greater London,N16 6TD,01372-236506,teresita_gesell@hotmail.com,http://www.masoninsuranceagencyinc.co.uk
769 Euston St,01563-997671,J T Painting Corp,,Gius,Evangelina,,Glastonbury,Somerset,BA6 8EY,01377-310696,evangelina.gius@yahoo.com,http://www.jtpaintingcorp.co.uk
46 Stevenson St,01919-394681,Solomon Metals Inc,,Tromblay,Marlon,,West End Ward,Dundee City,DD1 5EF,01869-607955,mtromblay@yahoo.com,http://www.solomonmetalsinc.co.uk
1400 Ash St,01446-936944,Looking Good,,Scarsella,Quiana,,Thorpe Hamlet Ward,Norfolk,NR1 4HS,01492-687388,quiana_scarsella@hotmail.com,http://www.lookinggood.co.uk
8822 Trafalgar St,01721-747819,Guldstrand Engineering Inc,,Humeniuk,Viki,,Yalding,Kent,ME18 6JE,01381-985978,vhumeniuk@gmail.com,http://www.guldstrandengineeringinc.co.uk
28 Berwick St,01606-833878,"Ciocia, James A Esq",,Weissmann,Domitila,,Moordown Ward,Bournemouth,BH9 1TT,01928-189722,domitila@gmail.com,http://www.ciociajamesaesq.co.uk
94 Regent St,01478-392232,Center For Pediatrics,,Aronov,Ivan,,Over Kellet,Lancashire,LA6 1DB,01410-877250,ivan@gmail.com,http://www.centerforpediatrics.co.uk
30 Marine Parade #1,01994-675650,William A Geppert True Value,,Baldock,Anabel,,Staina Ward,Lancashire,FY5 4FN,01845-742562,anabel_baldock@hotmail.com,http://www.williamagepperttruevalue.co.uk
8 Pim Hill St,01437-681317,Hardware Specialty Co Inc,,Blyler,Carlton,,Portobello,City of Edinburgh,EH15 2HW,01604-200932,carlton@blyler.co.uk,http://www.hardwarespecialtycoinc.co.uk
8451 Bengel St,01286-317691,Creative Consultants,,Vera,Rashida,,Brixham,Devon,TQ5 9JW,01913-489634,rashida@hotmail.com,http://www.creativeconsultants.co.uk
159 Carlton St,01481-744296,Fhk Corp,,Knodel,Sherron,,Windle Ward,Merseyside,WA10 6QG,01222-556548,sherron@knodel.co.uk,http://www.fhkcorp.co.uk
38 Raffles St,01285-381062,Regis Brd Pro Engrs & Land,,Mossing,Cora,,Newmarket,Cambridgeshire,CB8 8QE,01699-194090,cora@yahoo.com,http://www.regisbrdproengrsland.co.uk
650 Goring St,01373-594236,Male Power Ltd,,Tischner,Altha,,Rainham South Ward,Kent,ME8 9PN,01698-785700,altha@hotmail.com,http://www.malepowerltd.co.uk
6 Chestnut St,01528-240870,Atc Power Systems,,Yaccarino,Dortha,,Gwersyllt Community,Wrexham,LL11 4RJ,01254-458143,dortha@hotmail.com,http://www.atcpowersystems.co.uk
4 Peover St,01275-397587,Farmers Electric Co Op Inc,,Augle,Diego,,Walcot Ward,Bath Avon,BA1 6EF,01933-666689,diego.augle@gmail.com,http://www.farmerselectriccoopinc.co.uk
328 Pallas St,01619-237602,"Goldberg, Stephen M Esq",,Khov,Peggy,,Longford Ward,Greater Manchester,M32 8LJ,01648-417310,peggy.khov@gmail.com,http://www.goldbergstephenmesq.co.uk
9 Waltham Rd,01872-808403,Best Wstrn Host Mtr Htl Palm,,Yuki,Walton,,Yealmpton,Devon,PL8 2NS,01885-290666,wyuki@gmail.com,http://www.bestwstrnhostmtrhtlpalm.co.uk
352 Strathmore Rd,01251-120872,Micro Lan,,Yafaie,Vallie,,Shiphay-with-the-Willows Ward,Devon,TQ2 7JB,01630-603260,vyafaie@hotmail.com,http://www.microlan.co.uk
529 Llanrwst St,01765-102036,Dilling Harris Inc,,Diazdeleon,Tony,,Southam,Gloucestershire,GL52 8TW,01877-593275,tony@gmail.com,http://www.dillingharrisinc.co.uk
1980 Tynemouth St,01375-870188,Horizon Air Magazine,,Villot,Val,,Almond Ward,West Lothian,EH52 5PY,01602-987840,val@yahoo.com,http://www.horizonairmagazine.co.uk
8598 Rumney Rd,01885-270480,Avante Limited,,Picciuto,Mel,,Hylands Ward,Essex,RM11 1QL,01268-443299,mel.picciuto@gmail.com,http://www.avantelimited.co.uk
9283 Ruth St #81,01979-186995,"Miller, William E Iii",,Piatkowski,Isabella,,Dormers Wells Ward,Greater London,UB1 2FH,01998-980054,isabella_piatkowski@piatkowski.co.uk,http://www.millerwilliameiii.co.uk
5544 Sutherland St,01507-386397,Martin Morrissey,,Rhea,Erasmo,,Mortehoe,Devon,EX34 7DQ,01899-316385,erasmo_rhea@hotmail.com,http://www.martinmorrissey.co.uk
9 Jackson St,01876-642683,Auto Body Color,,Lohrenz,Ivory,,Parr Ward,Merseyside,WA9 3QW,01651-132519,ivory@hotmail.com,http://www.autobodycolor.co.uk
3612 Bixteth St,01282-123434,"Fred, Anthony Esq",,Walka,Nikita,,Hucknall North Ward,Nottinghamshire,NG15 8DD,01724-455145,nwalka@hotmail.com,http://www.fredanthonyesq.co.uk
4545 Victoria Rd,01952-535977,Advantage Bookkeeping,,Ligons,Aleta,,Kilbirnie and Beith Ward,North Ayrshire,KA15 1AT,01715-637895,aleta_ligons@hotmail.com,http://www.advantagebookkeeping.co.uk
5 Hampden St,01467-142439,Capital Fasteners Inc,,Jentzen,Owen,,Liscard Ward,Merseyside,CH45 4RN,01917-137038,owen_jentzen@jentzen.co.uk,http://www.capitalfastenersinc.co.uk
6452 Pilgrim St #5,01990-476494,Cumberland Vacuum Products,,Fling,Pauline,,Seven Sisters Ward,Greater London,N15 6TH,01458-113457,pfling@fling.co.uk,http://www.cumberlandvacuumproducts.co.uk
1149 Highfield Rd #996,01242-532395,"Schwartz, Thomas E Esq",,Machalek,Tijuana,,Fareham South Ward,Hampshire,PO14 9JJ,01336-686264,tijuana.machalek@gmail.com,http://www.schwartzthomaseesq.co.uk
21 Pickwick St,01567-555570,Alliance Construction Co Inc,,Alsaqri,Ahmad,,Sutton cum Duckmanton,Derbyshire,S44 5DS,01852-550588,ahmad.alsaqri@yahoo.com,http://www.allianceconstructioncoinc.co.uk
19 Soho St,01726-595316,"Keller, Raymond C",,Conoly,Jamika,,Whitley Ward,Berkshire,RG1 9XH,01597-168997,jamika_conoly@conoly.co.uk,http://www.kellerraymondc.co.uk
236 Blantyre Rd,01982-734773,Proto Tek Manufacturing,,Dolloff,Derrick,,Everton Ward,Merseyside,L6 2EN,01619-554437,derrick_dolloff@gmail.com,http://www.prototekmanufacturing.co.uk
70 Lilly Rd,01846-581451,Great Clips For Hair,,Reibman,Jacquelyne,,Shirley Ward,Greater London,CR0 7PT,01850-754504,jacquelyne_reibman@yahoo.com,http://www.greatclipsforhair.co.uk
58 Gloucester Rd,01888-641397,Country Kitchen,,Freeburger,Zachary,,Holbrook,Derbyshire,DE56 0TX,01240-433924,zachary.freeburger@freeburger.co.uk,http://www.countrykitchen.co.uk
88 Upper Harrington St,01504-539114,T C E Systems Inc,,Gaucher,Sophia,,North East Ward,North Lanarkshire,G69 8EL,01254-919378,sophia.gaucher@hotmail.com,http://www.tcesystemsinc.co.uk
4920 Fazakerley Rd,01552-682601,Rock Springs Petroleum Equip,,Kono,Isabelle,,Plymstock Dunstone Ward,Devon,PL9 8RD,01953-816728,isabelle.kono@yahoo.com,http://www.rockspringspetroleumequip.co.uk
6 Morley St,01943-754681,Howard Johnson,,Brigman,Ronnie,,Batchwood Ward,Hertfordshire,AL3 5JN,01972-686199,ronnie@brigman.co.uk,http://www.howardjohnson.co.uk
7316 Friar St,01441-846477,Harris Oldsmobile Inc,,Schlabaugh,Krystina,,Salvington Ward,West Sussex,BN13 3FL,01332-799979,kschlabaugh@schlabaugh.co.uk,http://www.harrisoldsmobileinc.co.uk
8 Heathfield St #657,01273-236188,"Jurdem, Scott Esq",,Ausdemore,Rosita,,Hailsham,East Sussex,BN27 1AJ,01997-765432,rausdemore@hotmail.com,http://www.jurdemscottesq.co.uk
275 Peel Sq,01502-139578,Lindner Funds,,Stancil,Huey,,Park Ward,North Eart Lincolnshire,DN32 0PT,01468-195646,hstancil@hotmail.com,http://www.lindnerfunds.co.uk
726 Westmoreland Place,01724-467889,"Donald, G Nelson Esq",,Fiorino,Elbert,,Ballochmyle Ward,East Ayrshire,KA5 6EL,01992-537553,elbert@hotmail.com,http://www.donaldgnelsonesq.co.uk
7 Water St,01853-412588,Cia Inspection,,Manciel,Pura,,Priory Heath Ward,Suffolk,IP3 9RB,01386-437186,pura.manciel@yahoo.com,http://www.ciainspection.co.uk
4 Covent Garden,01333-436799,Nelsons Trmt & Pest Cntrl Co,,Katie,Alesia,,Farnworth Ward,Greater Manchester,BL4 7AF,01240-614527,alesia_katie@gmail.com,http://www.nelsonstrmtpestcntrlco.co.uk
9166 Devon St #905,01748-625058,Plaza Gourmet Delicatessen,,Veit,Avery,,Knightsbridge and Belgravia Wa,Greater London,SW1W 8JY,01369-185737,avery@veit.co.uk,http://www.plazagourmetdelicatessen.co.uk
70 Foster St,01916-963261,"Fitzgerald, Edward J",,Euresti,Reid,,Inverness Ness-Side Ward,Highland,IV2 6WT,01370-319414,reuresti@euresti.co.uk,http://www.fitzgeraldedwardj.co.uk
714 Fonthill Rd,01888-152110,Furey & Associates,,Brenning,Charlette,,Darton West Ward,South Yorkshire,S75 5EJ,01301-312487,cbrenning@brenning.co.uk,http://www.fureyassociates.co.uk
9 Milton St,01877-379681,Bfg Federal Credit Union,,Keeny,Celestina,,Consett North ED,County Durham,DH8 5LP,01600-463475,celestina_keeny@gmail.com,http://www.bfgfederalcreditunion.co.uk
6 Norwood Grove,01451-785624,Nelson Wright Haworth Golf Crs,,Richan,Mi,,Tanworth-in-Arden,Warwickshire,B94 5RZ,01202-738406,mi@hotmail.com,http://www.nelsonwrighthaworthgolfcrs.co.uk
